,,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023
State Name,College Name,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES,Transferable Credit FTES,Credit FTES,Non-Credit FTES,Total FTES,Vocational Education Credit FTES,Vocational Education Non Credit FTES,Vocational Education Total FTES
State of California,Cosumnes River,"7,393.19","9,442.79",1.99,"9,444.78","2,609.95",0.00,"2,609.95","7,553.43","9,520.35",3.09,"9,523.44","2,577.73",0.00,"2,577.73","7,973.44","9,814.39",0.00,"9,814.39","2,685.51",0.00,"2,685.51","8,655.96","10,121.25",0.00,"10,121.25","2,830.02",0.00,"2,830.02","8,356.86","9,634.32",4.03,"9,638.35","2,581.59",0.00,"2,581.59","7,501.57","8,521.85",2.38,"8,524.22","2,488.14",0.00,"2,488.14","7,696.27","8,567.24",17.76,"8,584.99","2,596.19",0.00,"2,596.19"
State of California,Crafton Hills,"3,452.80","4,461.98",35.16,"4,497.14",805.78,0.00,805.78,"3,672.53","4,628.05",26.72,"4,654.76",907.61,0.67,908.28,"3,853.06","4,698.99",30.34,"4,729.33",890.46,5.78,896.24,"4,240.52","4,684.86",1.23,"4,686.08",806.95,1.23,808.17,"3,942.95","4,341.88",1.74,"4,343.62",823.03,0.00,823.03,"3,510.43","3,712.09",6.11,"3,718.20",792.52,1.35,793.87,"3,384.94","3,624.36",37.72,"3,662.08",899.23,31.69,930.92
State of California,Cuesta,"6,227.09","7,473.63",378.33,"7,851.96","2,295.25",10.41,"2,305.66","6,373.16","7,516.44",463.31,"7,979.75","2,441.63",12.54,"2,454.17","6,638.07","7,625.91",528.72,"8,154.63","2,738.72",13.82,"2,752.54","7,016.63","7,742.99",425.57,"8,168.57","2,782.24",15.80,"2,798.03","6,697.47","7,127.37",231.50,"7,358.87","2,270.98",15.46,"2,286.45","6,287.29","6,728.68",401.17,"7,129.85","2,396.87",22.85,"2,419.72","6,386.65","6,829.04",389.11,"7,218.15","2,499.45",23.21,"2,522.66"
State of California,Cuyamaca,"4,491.99","5,394.73",0.00,"5,394.73","1,154.48",0.00,"1,154.48","4,439.41","5,267.89",0.00,"5,267.89","1,171.49",0.00,"1,171.49","4,277.80","4,844.89",0.00,"4,844.89","1,151.20",0.00,"1,151.20","4,305.34","4,738.77",0.00,"4,738.77","1,126.38",0.00,"1,126.38","3,770.57","4,031.64",0.00,"4,031.64",903.68,0.00,903.68,"3,520.30","3,717.42",3.34,"3,720.77",785.65,0.00,785.65,"3,671.78","3,869.79",2.22,"3,872.01",828.16,0.00,828.16
State of California,Cypress,"10,990.74","12,765.48",0.00,"12,765.48","5,429.32",0.00,"5,429.32","11,054.76","12,736.77",0.00,"12,736.77","4,992.75",0.00,"4,992.75","11,462.88","12,904.26",0.00,"12,904.26","4,440.49",0.00,"4,440.49","11,527.48","12,349.18",0.00,"12,349.18","4,003.80",0.00,"4,003.80","10,811.46","11,457.92",0.00,"11,457.92","3,582.76",0.00,"3,582.76","9,739.73","10,252.01",0.00,"10,252.01","3,395.66",0.00,"3,395.66","9,902.01","10,194.30",31.24,"10,225.54","3,461.31",31.24,"3,492.55"
State of California,Deanza,"15,604.89","18,308.62",0.00,"18,308.62","4,303.12",0.00,"4,303.12","14,816.81","17,178.34",0.00,"17,178.34","4,191.73",0.00,"4,191.73","14,861.32","16,306.75",1.80,"16,308.55","4,088.44",1.80,"4,090.24","14,929.62","15,900.24",12.22,"15,912.46","3,983.95",12.22,"3,996.18","15,224.87","16,127.43",26.66,"16,154.10","4,175.54",22.88,"4,198.43","13,341.39","14,223.01",88.06,"14,311.07","3,663.24",34.46,"3,697.70","13,139.62","13,880.89",258.74,"14,139.63","3,613.70",110.85,"3,724.55"
State of California,Desert,"6,687.58","8,370.51",732.37,"9,102.88","2,223.40",0.00,"2,223.40","7,504.53","9,268.98",700.87,"9,969.85","2,926.35",15.34,"2,941.69","7,756.05","9,309.92",697.92,"10,007.84","3,061.69",19.39,"3,081.08","8,737.26","9,733.02","1,777.76","11,510.78","3,464.62",28.21,"3,492.83","8,001.63","8,677.59",786.11,"9,463.69","2,727.31",32.98,"2,760.29","7,409.94","8,068.78","1,068.22","9,136.99","2,950.53",23.29,"2,973.82","6,947.65","7,590.67","1,488.58","9,079.25","2,903.65",21.54,"2,925.19"
State of California,Diablo Valley,"15,210.28","17,160.78",0.00,"17,160.78","4,169.23",0.00,"4,169.23","15,455.54","17,305.96",0.00,"17,305.96","4,281.62",0.00,"4,281.62","15,234.37","16,895.16",0.13,"16,895.30","4,510.87",0.00,"4,510.87","15,596.00","17,057.72",0.28,"17,058.01","4,665.03",0.00,"4,665.03","15,102.91","15,986.55",0.00,"15,986.55","4,808.74",0.00,"4,808.74","13,899.35","14,800.92",8.30,"14,809.22","4,937.07",0.00,"4,937.07","13,320.36","13,794.98",18.01,"13,812.99","4,568.82",0.00,"4,568.82"
State of California,East LA,"15,315.31","22,222.99","1,664.35","23,887.34","8,026.94",2.39,"8,029.33","16,064.57","21,616.81","1,941.23","23,558.04","6,317.26",18.35,"6,335.60","16,761.01","21,413.23","1,410.06","22,823.29","6,902.15",52.73,"6,954.88","17,309.69","20,926.64","1,080.68","22,007.31","6,734.21",64.93,"6,799.14","16,633.34","19,983.91",641.57,"20,625.48","6,120.41",71.27,"6,191.67","14,216.12","17,228.56",526.77,"17,755.33","5,855.19",28.42,"5,883.60","13,973.28","16,668.25","1,201.09","17,869.34","6,137.05",52.68,"6,189.73"
State of California,El Camino,"15,596.94","19,043.55",17.42,"19,060.98","3,792.62",0.00,"3,792.62","15,159.38","18,404.28",19.25,"18,423.53","3,892.37",0.00,"3,892.37","15,769.41","18,119.77",20.56,"18,140.33","4,450.93",0.00,"4,450.93","16,364.99","17,507.06",0.28,"17,507.34","4,150.21",0.00,"4,150.21","14,893.96","15,890.87",31.56,"15,922.43","3,920.08",5.85,"3,925.93","14,262.64","14,943.55",11.37,"14,954.92","3,744.74",0.39,"3,745.13","18,955.95","19,628.20",13.47,"19,641.67","4,913.63",0.00,"4,913.63"
